,UKPRN,Institution name,Main panel,UOA number,UOA name,Multiple submission name,Joint submission,Profile,FTE staff,Total staff FTE (joint),Eligible staff (%),4*,3*,2*,1*,0*,GPA,Region
0,10007783,University of Aberdeen,A,1,Clinical Medicine,,,Overall,139.02,,100.0,15.0,62.0,23.0,0.0,0.0,2.92,Scotland
1,10007783,University of Aberdeen,A,1,Clinical Medicine,,,Outputs,139.02,,100.0,21.0,51.7,26.7,0.3,0.3,2.928,Scotland
2,10007783,University of Aberdeen,A,1,Clinical Medicine,,,Impact,139.02,,100.0,11.1,61.1,27.8,0.0,0.0,2.833,Scotland
3,10007783,University of Aberdeen,A,1,Clinical Medicine,,,Environment,139.02,,100.0,0.0,100.0,0.0,0.0,0.0,3.0,Scotland
4,10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,Overall,30.15,,100.0,58.0,37.0,5.0,0.0,0.0,3.53,Scotland
5,10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,Outputs,30.15,,100.0,53.3,38.7,8.0,0.0,0.0,3.453,Scotland
6,10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,Impact,30.15,,100.0,66.7,33.3,0.0,0.0,0.0,3.667,Scotland
7,10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,Environment,30.15,,100.0,62.5,37.5,0.0,0.0,0.0,3.625,Scotland
8,10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,Overall,25.0,,100.0,34.0,60.0,6.0,0.0,0.0,3.28,Scotland
9,10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,Outputs,25.0,,100.0,39.3,50.0,10.7,0.0,0.0,3.286,Scotland
10,10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,Impact,25.0,,100.0,33.3,66.7,0.0,0.0,0.0,3.333,Scotland
11,10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,Environment,25.0,,100.0,12.5,87.5,0.0,0.0,0.0,3.125,Scotland
12,10007783,University of Aberdeen,A,5,Biological Sciences,,,Overall,16.5,,100.0,18.0,61.0,21.0,0.0,0.0,2.97,Scotland
13,10007783,University of Aberdeen,A,5,Biological Sciences,,,Outputs,16.5,,100.0,19.5,51.2,29.3,0.0,0.0,2.902,Scotland
14,10007783,University of Aberdeen,A,5,Biological Sciences,,,Impact,16.5,,100.0,25.0,75.0,0.0,0.0,0.0,3.25,Scotland
15,10007783,University of Aberdeen,A,5,Biological Sciences,,,Environment,16.5,,100.0,0.0,75.0,25.0,0.0,0.0,2.75,Scotland
16,10007783,University of Aberdeen,B,7,Earth Systems and Environmental Sciences,,,Overall,83.2,,100.0,26.0,62.0,11.0,1.0,0.0,3.13,Scotland
17,10007783,University of Aberdeen,B,7,Earth Systems and Environmental Sciences,,,Outputs,83.2,,100.0,25.5,60.1,13.4,1.0,0.0,3.101,Scotland
18,10007783,University of Aberdeen,B,7,Earth Systems and Environmental Sciences,,,Impact,83.2,,100.0,35.7,57.2,7.1,0.0,0.0,3.286,Scotland
19,10007783,University of Aberdeen,B,7,Earth Systems and Environmental Sciences,,,Environment,83.2,,100.0,12.5,75.0,12.5,0.0,0.0,3.0,Scotland
20,10007783,University of Aberdeen,B,8,Chemistry,,,Overall,19.0,,100.0,21.0,74.0,5.0,0.0,0.0,3.16,Scotland
21,10007783,University of Aberdeen,B,8,Chemistry,,,Outputs,19.0,,100.0,10.4,81.3,8.3,0.0,0.0,3.021,Scotland
22,10007783,University of Aberdeen,B,8,Chemistry,,,Impact,19.0,,100.0,50.0,50.0,0.0,0.0,0.0,3.5,Scotland
23,10007783,University of Aberdeen,B,8,Chemistry,,,Environment,19.0,,100.0,12.5,87.5,0.0,0.0,0.0,3.125,Scotland
24,10007783,University of Aberdeen,B,10,Mathematical Sciences,,,Overall,24.0,,100.0,25.0,60.0,15.0,0.0,0.0,3.1,Scotland
25,10007783,University of Aberdeen,B,10,Mathematical Sciences,,,Outputs,24.0,,100.0,35.0,63.3,1.7,0.0,0.0,3.333,Scotland
26,10007783,University of Aberdeen,B,10,Mathematical Sciences,,,Impact,24.0,,100.0,0.0,50.0,50.0,0.0,0.0,2.5,Scotland
27,10007783,University of Aberdeen,B,10,Mathematical Sciences,,,Environment,24.0,,100.0,25.0,62.5,12.5,0.0,0.0,3.125,Scotland
28,10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,Overall,15.5,,100.0,28.0,64.0,8.0,0.0,0.0,3.2,Scotland
29,10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,Outputs,15.5,,100.0,35.9,53.8,10.3,0.0,0.0,3.256,Scotland
30,10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,Impact,15.5,,100.0,25.0,75.0,0.0,0.0,0.0,3.25,Scotland
31,10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,Environment,15.5,,100.0,0.0,87.5,12.5,0.0,0.0,2.875,Scotland
32,10007783,University of Aberdeen,B,12,Engineering,,,Overall,69.4,,100.0,23.0,51.0,21.0,5.0,0.0,2.92,Scotland
33,10007783,University of Aberdeen,B,12,Engineering,,,Outputs,69.4,,100.0,28.7,62.1,7.5,1.7,0.0,3.178,Scotland
34,10007783,University of Aberdeen,B,12,Engineering,,,Impact,69.4,,100.0,25.0,8.3,50.0,16.7,0.0,2.416,Scotland
35,10007783,University of Aberdeen,B,12,Engineering,,,Environment,69.4,,100.0,0.0,75.0,25.0,0.0,0.0,2.75,Scotland
36,10007783,University of Aberdeen,C,15,Archaeology,,,Overall,10.0,,100.0,29.0,61.0,10.0,0.0,0.0,3.1900000000000004,Scotland
37,10007783,University of Aberdeen,C,15,Archaeology,,,Outputs,10.0,,100.0,28.0,56.0,16.0,0.0,0.0,3.12,Scotland
38,10007783,University of Aberdeen,C,15,Archaeology,,,Impact,10.0,,100.0,25.0,75.0,0.0,0.0,0.0,3.25,Scotland
39,10007783,University of Aberdeen,C,15,Archaeology,,,Environment,10.0,,100.0,37.5,62.5,0.0,0.0,0.0,3.375,Scotland
40,10007783,University of Aberdeen,C,17,Business and Management Studies,,,Overall,62.85,,100.0,16.0,65.0,18.0,1.0,0.0,2.96,Scotland
41,10007783,University of Aberdeen,C,17,Business and Management Studies,,,Outputs,62.85,,100.0,22.4,56.6,19.6,1.4,0.0,3.0,Scotland
42,10007783,University of Aberdeen,C,17,Business and Management Studies,,,Impact,62.85,,100.0,10.0,70.0,20.0,0.0,0.0,2.8999999999999995,Scotland
43,10007783,University of Aberdeen,C,17,Business and Management Studies,,,Environment,62.85,,100.0,0.0,87.5,12.5,0.0,0.0,2.875,Scotland
44,10007783,University of Aberdeen,C,18,Law,,,Overall,41.0,,100.0,32.0,45.0,22.0,1.0,0.0,3.08,Scotland
45,10007783,University of Aberdeen,C,18,Law,,,Outputs,41.0,,100.0,30.1,43.7,24.3,1.9,0.0,3.0200000000000005,Scotland
46,10007783,University of Aberdeen,C,18,Law,,,Impact,41.0,,100.0,50.0,37.5,12.5,0.0,0.0,3.375,Scotland
47,10007783,University of Aberdeen,C,18,Law,,,Environment,41.0,,100.0,12.5,62.5,25.0,0.0,0.0,2.875,Scotland
48,10007783,University of Aberdeen,C,19,Politics and International Studies,,,Overall,19.8,,100.0,12.0,46.0,40.0,2.0,0.0,2.68,Scotland
49,10007783,University of Aberdeen,C,19,Politics and International Studies,,,Outputs,19.8,,100.0,10.0,50.0,36.0,4.0,0.0,2.66,Scotland
50,10007783,University of Aberdeen,C,19,Politics and International Studies,,,Impact,19.8,,100.0,25.0,25.0,50.0,0.0,0.0,2.75,Scotland
