UKPRN,Institution name,Main panel,UOA number,UOA name,Multiple submission name,Joint submission,Income source,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2013-2020 (total),2013-2020 (avg),Region
10007783,University of Aberdeen,A,1,Clinical Medicine,,,Research<br>councils,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,1,Clinical Medicine,,,Health research<br>funding bodies,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,1,Clinical Medicine,,,Total income,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,Research<br>councils,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,Health research<br>funding bodies,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,Total income,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,Research<br>councils,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,Health research<br>funding bodies,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,Total income,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,5,Biological Sciences,,,Research<br>councils,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,5,Biological Sciences,,,Health research<br>funding bodies,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,A,5,Biological Sciences,,,Total income,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,B,7,Earth Systems and Environmental Sciences,,,Research<br>councils,0,21941,53105,26568,78287,31508,41865,253274,36182.0,Scotland
10007783,University of Aberdeen,B,7,Earth Systems and Environmental Sciences,,,Total income,0,21941,53105,26568,78287,31508,41865,253274,36182.0,Scotland
10007783,University of Aberdeen,B,8,Chemistry,,,Research<br>councils,126423,266999,205260,331787,345201,454194,520639,2250503,321500.43,Scotland
10007783,University of Aberdeen,B,8,Chemistry,,,Total income,126423,266999,205260,331787,345201,454194,520639,2250503,321500.43,Scotland
10007783,University of Aberdeen,B,10,Mathematical Sciences,,,Research<br>councils,0,0,0,0,0,0,0,0,0.0,Scotland
10007783,University of Aberdeen,B,10,Mathematical Sciences,,,Total income,0,0,0,0,0,0,0,0,0.0,Scotland
